fixedAcidity,volatileAcidity,citricAcid,residualSugar,chlorides,freeSulfurDioxide,totalSulfurDioxide,density,pH,sulphates,alcohol,quality
0.4868421052631579,0.0980392156862745,0.37,0.026200873362445417,0.07831325301204821,0.04878048780487805,0.1531322505800464,0.3198168737737068,0.40425531914893637,0.5135135135135135,0.4516129032258066,0
0.5394736842105263,0.3333333333333333,0.62,0.8144104803493449,0.07831325301204821,0.13588850174216027,0.37819025522041766,0.8561151079136696,0.19148936170212774,0.5675675675675677,0.2741935483870967,0
0.31578947368421045,0.08823529411764706,0.38,0.039301310043668124,0.05421686746987953,0.09059233449477352,0.23897911832946636,0.2805755395683407,0.4787234042553191,0.4054054054054055,0.5483870967741936,1
0.2631578947368421,0.5686274509803922,0.48,0.026200873362445417,0.04518072289156627,0.09407665505226481,0.1531322505800464,0.13669064748201026,0.5638297872340425,0.1891891891891892,0.774193548387097,1
0.30263157894736836,0.22549019607843135,0.14,0.3013100436681223,0.09036144578313254,0.11149825783972125,0.2877030162412993,0.5487246566383294,0.4468085106382981,0.33783783783783783,0.24193548387096778,0
0.2894736842105263,0.22549019607843135,0.38,0.10043668122270742,0.07228915662650603,0.059233449477351915,0.21577726218097448,0.26749509483322104,0.3936170212765957,0.13513513513513511,0.48387096774193555,1
0.3421052631578947,0.1764705882352941,0.42,0.0480349344978166,0.10542168674698797,0.13588850174216027,0.26218097447795824,0.3852190974493122,0.7127659574468086,0.3108108108108108,0.40322580645161293,1
0.44736842105263147,0.5784313725490197,0.14,0.039301310043668124,0.1807228915662651,0.08013937282229965,0.3689095127610209,0.43100065402223814,0.2659574468085105,0.35135135135135137,0.20967741935483886,0
0.30263157894736836,0.30392156862745096,0.23,0.20960698689956336,0.11144578313253013,0.08013937282229965,0.3248259860788863,0.41137998691955147,0.46808510638297895,0.13513513513513511,0.32258064516129037,0
0.4078947368421052,0.15686274509803919,0.39,0.7576419213973798,0.12951807228915665,0.14982578397212543,0.3248259860788863,0.8364944408109901,0.4361702127659574,0.14864864864864863,0.09677419354838705,0
0.4078947368421052,0.15686274509803919,0.39,0.7576419213973798,0.12951807228915665,0.14982578397212543,0.3248259860788863,0.8364944408109901,0.4361702127659574,0.14864864864864863,0.09677419354838705,0
0.2631578947368421,0.3627450980392157,0.26,0.165938864628821,0.14759036144578316,0.21254355400696864,0.45707656612529,0.4506213211249176,0.5,0.3648648648648649,0.2903225806451614,0
0.35526315789473684,0.10784313725490197,0.35,0.1921397379912664,0.1596385542168675,0.10452961672473868,0.3271461716937355,0.516023544800523,0.5957446808510637,0.3108108108108108,0.2903225806451614,0
0.31578947368421045,0.16666666666666666,0.29,0.021834061135371185,0.16265060240963858,0.1289198606271777,0.2668213457076566,0.2805755395683407,0.5744680851063828,0.4459459459459459,0.48387096774193555,1
0.2894736842105263,0.1764705882352941,0.24,0.2532751091703057,0.07831325301204821,0.08710801393728224,0.2668213457076566,0.20863309352517548,0.4468085106382981,0.32432432432432434,0.7419354838709677,1
0.3421052631578947,0.2156862745098039,0.23,0.17467248908296942,0.14156626506024098,0.16898954703832753,0.5324825986078886,0.5683453237410088,0.5531914893617019,0.47297297297297297,0.24193548387096778,0
0.3289473684210526,0.1470588235294118,0.31,0.06550218340611354,0.09638554216867472,0.0975609756097561,0.20185614849187936,0.35905820797907295,0.5638297872340425,0.5270270270270271,0.4354838709677419,1
0.42105263157894735,0.15686274509803919,0.29,0.4148471615720524,0.10843373493975907,0.06620209059233449,0.22273781902552203,0.594506213211248,0.351063829787234,0.13513513513513511,0.24193548387096778,0
0.38157894736842096,0.0980392156862745,0.36,0.034934497816593885,0.08734939759036145,0.10104529616724739,0.18097447795823665,0.1759319816873764,0.48936170212765934,0.16216216216216217,0.7580645161290323,1
0.36842105263157887,0.23529411764705882,0.34,0.030567685589519656,0.08433734939759038,0.0627177700348432,0.13921113689095127,0.26749509483322104,0.5425531914893618,0.5405405405405406,0.6451612903225807,1
0.42105263157894735,0.0980392156862745,0.3,0.3580786026200874,0.15060240963855423,0.08362369337979095,0.21809744779582366,0.5879659908436882,0.14893617021276603,0.41891891891891897,0.20967741935483886,0
0.3289473684210526,0.45098039215686275,0.28,0.20960698689956336,0.13855421686746988,0.06620209059233449,0.22273781902552203,0.5094833224329631,0.5,0.16216216216216217,0.16129032258064518,0
0.38157894736842096,0.34313725490196073,0.61,0.4890829694323145,0.09337349397590362,0.18118466898954705,0.33874709976798145,0.672988881621973,0.3297872340425531,0.2702702702702703,0.11290322580645151,0
